SN Ref,HAB,POL,AIR,CLI,WQN,WQL,SOI,HAZ,ORG,NRG,FOD,MAT,MED,INS,EXP,IDE,OPT
SN 83,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
SN 84,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0
SN 85,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0
SN 86,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
SN 87,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
SN 88,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
SN 89,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
SN 90,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
SN 91,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SN 92,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
SN 93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN 94,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SN 95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN 96,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0
SN 97,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SN 98,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
SN 99,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SN 100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN 101,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
SN 102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SN 103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN 104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SN 105,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
SN 106,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0
SN 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SN 108,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
SN 109,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0
SN 110,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
SN 111,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
SN 112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN 113,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
SN 114,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
SN 115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN 116,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
